Departamento;Perros ;Gatos;Perros y gatos;Vacunados
Baranoa;6354;1819;8173;7430
Campo de la cruz;3407;317;3724;3713
Candelaria;2403;200;2603;2553
Galapa;6177;2179;8356;8365
Juan de Acosta;2965;923;3888;3881
Luruaco;3998;599;4597;4157
Malambo;10172;4204;14376;13827
Manati;3036;244;3280;3278
Palmar de Varela;3095;587;3682;3670
Piojo;1642;372;2014;2009
Polonuevo;2809;576;3385;3387
Ponedera;2774;441;3215;3049
Puerto Colombia;5325;2122;7447;6708
Repelon;4049;439;4488;4066
Sabanagrande;11707;2453;14160;3021
Sabanalarga;1887;163;2050;12830
Santa Lucia;2915;614;3529;1947
Santo Tomas;2915;614;3529;3189
Soledad;44193;12194;56387;53538
Suan;1195;153;1348;1279
Tubara;1991;422;2413;2216
Usiacuri;1149;348;1497;1392
Barranquilla;86505;32553;119058;95107
