datos;Freq
Alquiler Lavadoras;2
Vendedora Por Catalogo Revista;23
ARTESANO;83
Diseño;4
Vendedor/a;47
Discapacitado;1
CARRO MULA;2
Celador;1
COBRADOR DE BUS;62
Comerciante;2
CONDUCTOR;3
HERRERO;1
INDEPENDIENTE;12
LAVADERO DE CARROS;7
Mecanico;1
MODISTA;9
MOTOTAXI;572
Músico;1
NEGOCIOS INFORMALES DE COMIDA;142
OBRERO;19
OFICIOS VARIOS;55
Zapatero;3
PAPELERIA Y MISCELANIA;16
TAXISTA;3
PESCADOR;219
Negocios Varios;12
TRABAJADOR DE NEGOCIO DE PLAYA;128
TRABAJADORES DE SALAS DE BELLEZA;29
TRABAJADORES DOMESTICOS;70
TRABAJADOR DE NEGOCIO DE PLAYA;128
TRABAJADORES DE SALAS DE BELLEZA;29
TRABAJADORES DOMESTICOS;70
Verdulero;3
NEGOCIOS INFORMALES DE COMIDA;142
OBRERO;19
Ventas;42
PESCADOR;219
Ventas Caseras;71
PAPELERIA Y MISCELANIA;16
TAXISTA;3
Vendedora ambulante;4
