Country;2021;2020;2019
Argentina;0,86;0,71;0,64
Australia;0,2;0,52;0,52
Austria;0,28;0,44;0,44
Belgium;0,25;0,24;0,24
Bolivia;4,32;4,68;4,87
Brazil;3,94;4,24;4,32
Canada;0,24;0,4;0,41
Chile;0,04;0,19;0,19
Colombia;4,74;3,48;3,77
Costa Rica;0,24;0,75;0,91
Denmark;0,17;0,23;0,23
Dominican Republic;0,42;0,02;0,02
Ecuador;3,77;2,67;2,74
Finland;0,08;0,08;0,08
France;0,13;0,24;0,24
Germany;0,24;0,19;0,19
Italy;0,97;1,4;1,4
Japan;0,4;0,52;0,52
Korea, Rep.;0,49;0,5;0,5
Mexico;1,54;1,69;1,63
Netherlands;0,23;0,21;0,21
New Zealand;0,01;0,01;0,01
Nicaragua;3,85;2,88;2,84
Norway;0,29;0,29;0,29
Panama;1,45;1,63;1,73
Paraguay;1,05;1,03;1,04
Peru;2,69;2,33;2,41
Spain;0,64;0,93;0,94
Sweden;0,33;0,53;0,53
Switzerland;0,08;0,06;0,06
United Kingdom;0,13;0,15;0,15
United States;0,38;0,54;0,54
Uruguay;0;0,01;0,01
