Student;PriorCourses;LearningPre;LearningPost;LearningGain
S1;CPMSE2012;0.4375;0.4375;0
S2;CPMSE2012;0.4642857;0.5;0.03571429
S3;CPMSE2012;0.325;0.4;0.075
S4;CPMSE2012;0.5416667;0.625;0.08333333
S5;CPMSE2012;0.5416667;0.7083333;0.16666667
S6;CPMSE2012;0.75;1;0.25
S7;CPMSE2012;0.3125;0.5625;0.25
S8;CPMSE2012;0.4;0.7;0.3
S9;CPMSE2012;0.4;0.7;0.3
S10;CPMSE2012;0.4;0.75;0.35
S11;CPMSE2012;0.2916667;0.75;0.45833333
S12;One;0.75;0.25;-0.5
S13;One;1;0.75;-0.25
S14;One;0.75;0.5;-0.25
S15;One;0.5;0.25;-0.25
S16;One;0.75;0.5;-0.25
S17;One;0.75;0.5;-0.25
S18;One;0.25;0;-0.25
S19;One;0.75;0.5;-0.25
S20;One;0.5;0.3333333;-0.16666667
S21;One;0.625;0.5;-0.125
S22;One;0.5;0.4166667;-0.08333333
S23;One;0.5;0.4166667;-0.08333333
S24;One;0.25;0.25;0
S25;One;0.5;0.5;0
S26;One;0.3333333;0.3333333;0
S27;One;0.75;0.75;0
S28;One;0.5;0.5;0
S29;One;0.75;0.75;0
S30;One;0.3;0.3;0
S31;One;0.4166667;0.5;0.08333333
S32;One;0.125;0.25;0.125
S33;One;0.25;0.4166667;0.16666667
S34;One;0;0.25;0.25
S35;One;0.5;0.75;0.25
S36;One;0.5;0.75;0.25
S37;One;0.5;0.75;0.25
S38;One;0.5;0.75;0.25
S39;One;0.325;0.625;0.3
S40;One;0.25;0.625;0.375
S41;One;0.25;0.75;0.5
S42;One;0.25;0.75;0.5
S43;ThreeToFive;0.25;0;-0.25
S44;ThreeToFive;0.75;0.6666667;-0.08333333
S45;ThreeToFive;0.5;0.5;0
S46;ThreeToFive;0.75;0.75;0
S47;ThreeToFive;0.75;0.75;0
S48;ThreeToFive;0.5;0.75;0.25
S49;ThreeToFive;0.25;0.5;0.25
S50;ThreeToFive;0.5;0.75;0.25
S51;ThreeToFive;0.5;0.75;0.25
S52;ThreeToFive;0.5;0.75;0.25
S53;ThreeToFive;0.25;0.75;0.5
S54;ThreeToFive;0;0.75;0.75
S55;Two;0.75;0.25;-0.5
S56;Two;1;0.5;-0.5
S57;Two;0.75;0.5;-0.25
S58;Two;0.5;0.5;0
S59;Two;0.75;0.75;0
S60;Two;0.5;0.5;0
S61;Two;0.375;0.375;0
S62;Two;0.5;0.5;0
S63;Two;0.25;0.25;0
S64;Two;0.5;0.5;0
S65;Two;0.75;0.75;0
S66;Two;0.75;0.75;0
S67;Two;0.75;0.75;0
S68;Two;0.3333333;0.3333333;0
S69;Two;0.25;0.375;0.125
S70;Two;0.5;0.625;0.125
S71;Two;0.75;1;0.25
S72;Two;0.5;0.75;0.25
S73;Two;0.25;0.5;0.25
S74;Two;0.25;0.5;0.25
S75;Two;0.5;0.75;0.25
S76;Two;0.375;0.625;0.25
S77;Two;0.375;0.75;0.375
S78;Two;0.25;0.75;0.5
S79;Two;0.5;1;0.5
S80;Two;0.25;0.8333333;0.58333333
S81;Two;0.125;0.75;0.625
S82;Two;0;0.75;0.75
S83;Zero;0.4375;0.375;-0.0625
S84;Zero;0.5;0.5;0
S85;Zero;0.375;0.375;0
S86;Zero;0.3125;0.375;0.0625
S87;Zero;0.25;0.3333333;0.08333333
S88;Zero;0.5;0.625;0.125
S89;Zero;0.375;0.625;0.25
S90;Zero;0.45;0.8;0.35
