CVG;CET;SoV;Venue;Author
3;3;4;ABSc;Verbert, K.
6;8;2;ABSc;Lockyer, L.
7;3;3;ABSc;Thompson, K.
1;7;4;ABSc;de Laat, M.
9;1;10;IEEE Transactions ;Fu, S.
7;3;10;IEEE Transactions ;Schwab, M.
6;1;10;IEEE Transactions ;Chen, Q.
3;2;4;IEEE Transactions ;Trimm, D.
3;3;3;IEEE Transactions ;Kotranza, A.
2;4;3;Computers & Education;Ali, L.
2;9;3;Computers & Education;Van Leeuwen, A.
3;9;3;Computers & Education;Janssen, J.
2;10;5;Comp in HB;Hernández-García, Á.
7;3;7;Comp in HB;Gómez-Aguilar, D. A.
3;3;4;Comp in HB;Ruipérez-Valiente, J. A.
2;10;5;Comp in HB;Aramo-Immonen, H.
1;10;1;Comp in HB;Agudo-Peregrina, Á. F.
1;10;5;Comp in HB;Lonn, S.
3;4;1;Comp in HB;Duque, R.
1;5;3;Comp in HB;Iglesias-Pradas, S.
1;4;2;Comp in HB;Cruz-Benito, J.
2;5;3;Comp in HB;Muñoz-Merino, P. J.
4;5;1;Comp in HB;Minovi?, M.
6;10;1;ET&S;Kim, M.
6;2;6;ET&S;Dyckhoff, A. L.
5;6;3;ET&S;Wang, M.
3;8;5;ET&S;Xing, W.
7;7;3;LAK;Schreurs, B.
1;2;5;LAK;Freeman, J. D.
2;4;7;LAK;Ruiz, S.
4;5;5;LAK;Bull, S.
5;4;9;LAK;Hsiao, I. H.
1;1;3;LAK;Hu, X.
8;6;3;LAK;Beheshitha, S. S.
2;7;3;LAK;Shum, S. B.
7;7;3;LAK;Kump, B.
2;3;3;LAK;Khan, I.
3;3;3;EDM;Eagle, M.
5;4;4;EDM;Davis, D.
1;3;1;EDM;Jugo, I.
4;3;4;EDM;Jacovina, M. E.
1;1;4;EDM;Jugo, I.
1;3;4;EDM;Warner, J.
1;2;3;EDM;Faucon, L.
1;4;4;EDM;Schneider, B.
6;6;5;EDM;Atapattu, T.
7;2;10;Other Conferences;Chen, Y.
1;5;5;Other Conferences;Bull, S.
1;3;2;Other Conferences;Ahn, J.
7;7;3;JLA;Hillaire, G.
3;4;2;JLA;Martinez-Maldonado, R.
1;9;2;JLA;Nagy, R. P.
